,local_area,address,primary_address,address is primary?,n_pids,pid,units,year_built,bsns_group,bsns_name,bsns_trade_name,bsns_type,value_land,value_bldg,bldg_land_ratio,value_per_unit,VTU members,WestEnd Inbox,VTU Main Inbox,zoning,name,management,n_issues,issues_details,VTU Building,notes,prospect?
483,,650 bucketwheel,650 bucketwheel,TRUE,1,,46,1977,['The Vancouver Broadway Housing Society'],['The Vancouver Broadway Housing Society'],[],['Non-profit Housing'],9088000,6938000,0.7634242958,,,,,,Clarke Manor,Vancouver Broadway Housing Society,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=650&street=BUCKETWHEEL,,,
484,Downtown,179 main st,179 main st,TRUE,1,,46,2020,,,,,6462000,27550000,4.263385949,,,,,DEOD,179 Main Street,Anhart Foundation,,,,,
485,Marpole,8643 logan st,8643 logan st,TRUE,1,,46,1969,['(Ralph Snell)'],['(Ralph Snell)'],[],['Apartment House'],54285000,10950000,0.2017131804,,,,,RM-3A,,,,,,,
486,Grandview-Woodland,1477 e broadway,1477 e broadway,TRUE,1,,46,1978,['Amirali Haji & Abdulaziz Haji & Shiraz Haji'],['Amirali Haji & Abdulaziz Haji & Shiraz Haji'],['Bantry Apartments'],['Apartment House'],10510000,5157000,0.4906755471,,,,,RM-4N,,,,,,,
487,Kitsilano,1932 w 1st ave,1932 w 1st ave,TRUE,1,,46,1978,['Kitsilano Shores Holdings Inc'],['Kitsilano Shores Holdings Inc'],[],['Apartment House'],98763000,35714000,0.3616131547,,,,,RM-4,,,,,,,
488,Kitsilano,2244 w 6th ave,2244 w 6th ave,TRUE,1,,46,1969,['2244 West 6th Avenue Holdings Inc'],['2244 West 6th Avenue Holdings Inc'],[],['Apartment House'],102312000,29589000,0.2892036125,,,,,RM-4,,,,,,,
489,Fairview,1165 w 13th ave,1165 w 13th ave,TRUE,1,,46,1965,['Ann Margaret Halicki (Ann Halicki)'],['Ann Margaret Halicki (Ann Halicki)'],[],['Apartment House'],57852000,11860000,0.2050058771,,,,,RM-3,,,,,,,
490,Oakridge,5976 tisdall st,5976 tisdall st,TRUE,1,,45,1961,['Hollyburn Properties Ltd'],['Hollyburn Properties Limited'],['Shannon Tower'],['Apartment House'],16818000,8014000,0.4765132596,,,,,CD-1 (713),,,,,,,
491,West Point Grey,4665 w 10th ave,4665 w 10th ave,TRUE,1,,45,1965,['Christopher Investments Ltd'],['Christopher Investments Ltd'],['Sasamat Towers'],['Apartment House'],83196000,45408000,0.5457954709,,,,,RM-3,,,,,,,
492,,2929 nootka st,2929 nootka st,TRUE,1,,45,1979,,,,,2917000,1467000,0.5029139527,,,,,,Kelly Court,Metro Vancouver Housing Corporation,,,,,
1258,West End,1675 comox st,1675 comox st,TRUE,1,,21,1961,['Milip Investment Company (Vancouver) Limited'],['Milip Investment Company (Vancouver) Limited'],[],['Apartment House'],"$5,057,000.00","$2,963,000.00",0.5859205062,"$381,904.76",,,,RM-5A,,,,,,,
494,,1189 main st,1189 main st,TRUE,1,,45,1992,['Affordable Housing Charitable Association'],['Affordable Housing Charitable Association'],[],['Non-profit Housing'],4570000,3031000,0.663238512,,,,,,Station Park I,Affordable Housing Societies,,,,,
495,Strathcona,303 railway st,321 railway st,FALSE,1,5862442,45,1998,,,,,9198000,5903000,0.64176995,,,,,CD-1 (354),,,,,,,
496,Strathcona,408 jackson ave,504 e hastings st,FALSE,1,15576019,45,1912,,,,,2080000,8165000,3.925480769,,,,,DEOD,,,,,,,
497,,5250 rupert st,5250 rupert st,TRUE,1,,45,1987,,,,,5966000,10719000,1.796681193,,,,,,Alberni Co-op,Alberni Co-op Housing Association,,,,,
498,Mount Pleasant,555 e 6th ave,555 e 6th ave,TRUE,1,,45,1962,['G&M Enterprises Ltd'],['G&M Enterprises Ltd'],[],['Apartment House'],21014000,11426000,0.5437327496,,,,,RM-4,,,,,,,
499,,1680 e 6th ave,1680 e 6th ave,TRUE,1,,45,1993,['New Chelsea Society'],['New Chelsea Society'],['Chelsea Lane'],['Non-profit Housing'],1861000,2861000,1.537345513,,,,,,Chelsea Lane,New Chelsea Society,,,,,
500,,788 richards st,788 richards st,TRUE,1,,45,2008,,,,,82443003,25320003,0.307121309,,,,,,Doug Storey Apartments,Coast Mental Health,7,http://app.vancouver.ca/RPS_Net/Default.aspx?num=788&street=RICHARDS%20STREET,,,
501,,2304 w 8th ave,2304 w 8th ave,TRUE,1,,45,2012,,,,,1,1,1,,,,,,Linden Tree Place,Kitsilano Neighbourhood House,,,,,
502,Arbutus-Ridge,5555 balsam st,5555 balsam st,TRUE,1,,45,1965,['Basha Sales Co Ltd & Leibel Sales Co Ltd'],['Basha Sales Co Ltd & Leibel Sales Co Ltd'],['Belmont Properties'],['Apartment House'],123942000,38444000,0.310177341,,,,,RM-3,,,,,,,
1121,West End,1121 harwood st,1121 harwood st,TRUE,1,,23,1954,,,,,"$5,057,000.00","$3,030,000.00",0.5991694681,"$351,608.70",,,,RM-5A,,,,,,,
504,,1106 pendrell st,1106 pendrell st,TRUE,1,,45,2018,,,,,2886000,9964000,3.452529453,,,,,,CentralPC Housing Society,CentralPC Housing Society,,,,,
505,,2950 euclid ave,2950 euclid ave,TRUE,1,,45,1993,['Brightside Community Homes Foundation'],['Brightside Community Homes Foundation'],[],['Non-profit Housing'],1766000,5872000,3.325028313,,,,,,Lion's View - Building I,Brightside Community Homes Foundation,,,,,
506,Mount Pleasant,343 e 8th ave,343 e 8th ave,TRUE,1,,45,1969,['Dranly Holdings Ltd'],['Dranly Holdings Ltd'],[],['Apartment House'],52535000,27480000,0.5230798515,,,,,RM-4,,,,,,,
507,Fairview,1265 w 13th ave,1265 w 13th ave,TRUE,1,,44,1968,['1233927 BC Ltd'],['1233927 BC Ltd'],['Balmoral Park Apartments'],['Apartment House'],60900000,18280000,0.3001642036,,,,,RM-3,,,,,,,
1167,West End,1609 harwood st,1609 harwood st,TRUE,1,,22,1958,['Ka Wah Estates Ltd'],['Ka Wah Estates Ltd'],[],['Apartment House'],"$5,057,000.00","$3,045,000.00",0.6021356535,"$368,272.73",,,,RM-5A,,,,,,,
509,Fairview,1234 w 14th ave,1234 w 14th ave,TRUE,1,,44,1965,['0832554 BC Ltd'],['0832554 BC Ltd'],[],['Apartment House'],60900000,18612000,0.3056157635,,,,,RM-3,,,3,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1234&street=W%2014TH%20AVENUE,,,
510,Grandview-Woodland,1417 e 8th ave,1417 e 8th ave,TRUE,1,,44,1980,['Mclean Apts Ltd'],['Mclean Apts Ltd'],[],['Apartment House'],69408000,13752000,0.1981327801,,,,,RM-4,,,,,,,
511,,32 w pender st,32 w pender st,TRUE,1,,44,1998,,,,,3295000,2586000,0.7848254932,,,,,,The CBA Manor,CBA Housing Society,,,,,
512,Fairview,1286 w 14th ave,1286 w 14th ave,TRUE,1,,44,1967,['No 33 Taurus Ventures Ltd'],['No 33 Taurus Ventures Ltd'],['The Midvale Apartments'],['Apartment House'],60900000,18376000,0.3017405583,,,,,RM-3,,,,,,,
513,,412 carrall st,412 carrall st,TRUE,1,,44,2008,['PHS Community Services Society'],['PHS Community Services Society'],['Pennsylvania Hotel'],['Non-profit Housing'],814001,178001,0.2186741785,,,,,,Pennsylvania Hotel,PHS Community Services Society,,,,,
514,,375 princess ave,375 princess ave,TRUE,1,,44,2009,['Provincial Rental Housing Corporation'],['Provincial Rental Housing Corporation'],['Carl Rooms'],['Non-profit Housing'],0,0,,,,,,,The Cornerstone,PHS Community Services Society,4,http://app.vancouver.ca/RPS_Net/Default.aspx?num=375&street=PRINCESS%20AVENUE,,,
493,West End,2045 barclay st,2045 barclay st,TRUE,1,,45,1957,['Konig Holdings Co Ltd'],['Konig Holdings Co Ltd'],[],['Apartment House'],"$13,316,000.00","$8,112,000.00",0.6091919495,"$476,177.78",,,,RM-5B,,,,,,,
516,Grandview-Woodland,2121 wall st,2121 wall st,TRUE,1,,44,1970,['Ludvik Rener & Anna Rener'],['Ludvik Rener & Anna Rener'],[],['Apartment House'],53455000,3500000,0.06547563371,,,,,RM-3A,,,,,,,
517,Grandview-Woodland,1555 e 6th ave,1555 e 6th ave,TRUE,1,,44,1977,['Briscoe Holdings Ltd'],['Briscoe Holdings Ltd'],[],['Apartment House'],8749000,4971000,0.5681792205,,,,,RM-4,,,,,,,
518,Downtown,129 e cordova st,119 e cordova st,FALSE,1,5076200,44,1987,,,,,0,0,,,,,,,James McCready Residence,Salvation Army,,,,,
519,Grandview-Woodland,1333 e broadway,1333 e broadway,TRUE,1,,44,1967,['Ho Lok Yung (Ho Yung)'],['Ho Lok Yung (Ho Yung)'],[],['Apartment House'],50680000,21735000,0.4288674033,,,,,RM-4N,,,,,,,
520,,2137 w 1st ave,2137 w 1st ave,TRUE,1,,44,1984,,,,,14365000,7995000,0.556561086,,,,,,Helen's Court Co-op,Helen's Court Co-op Housing Association,,,,,
521,,1580 e 3rd ave,1580 e 3rd ave,TRUE,1,,44,1985,,,,,3374000,1621000,0.4804386485,,,,,,Paloma Co-op,Paloma Co-op Housing Association,,,,,
522,West Point Grey,4639 w 10th ave,4639 w 10th ave,TRUE,1,,44,1964,['Hollyburn Properties Ltd'],['Hollyburn (Alberta) Ltd'],['Bellevue Towers'],['Apartment House'],57885000,39895000,0.6892113674,,,,,RM-3,,,,,,,
523,West Point Grey,2121 alma st,2121 alma st,TRUE,1,,44,1967,['E M V Holdings Corp'],['E M V Holdings Corp'],['The Alma'],['Apartment House'],31299000,23955000,0.7653599157,,,,,RM-4,,,,,,,
524,Marpole,8617 oak st,8617 oak st,TRUE,1,,44,1980,['John Chun Yin Wong  (John Wong)'],['John Chun Yin Wong  (John Wong)'],[],['Apartment House'],8913000,4372000,0.4905194659,,,,,RM-3A,,,,,,,
1363,West End,1775 pendrell st,1775 pendrell st,TRUE,1,,19,1953,['(Elisabeth Yee)'],['(Elisabeth Yee)'],['Baystar Apartments'],['Apartment House'],"$5,057,000.00","$3,082,000.00",0.6094522444,"$428,368.42",,,,RM-5A,,,7,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1775&street=PENDRELL%20STREET,,,
526,,2680 blanche st,2680 blanche st,TRUE,1,,43,1992,,,,,0,0,,,,,,,Fraser Lands Family Housing,Red Door Housing Society,,,,,
527,,1300 granville st,1300 granville st,TRUE,1,,43,2014,,,,,5264000,1615000,0.3068009119,,,,,,The Yale,Community Builders Group,,,,,
528,Kitsilano,2280 w 6th ave,2280 w 6th ave,TRUE,1,,43,1970,['2280 West 6th Avenue Holdings Ltd'],['2280 West 6th Avenue Holdings Ltd'],[],['Apartment House'],51156000,19144000,0.3742278521,,,,,RM-4,,,,,,,
233,West End,1949 comox st,1949 comox st,TRUE,1,,77,1963,['Radke Bros Construction Ltd'],['Radke Bros Construction Ltd'],[],['Apartment House'],"$110,990,000.00","$68,705,000.00",0.6190197315,"$2,333,701.30",,,,RM-5B,,,,,,,
530,Kitsilano,2091 w 2nd ave,2091 w 2nd ave,TRUE,1,,43,1966,['Goran Holdings Ltd'],['Goran Holdings Ltd'],[],['Apartment House'],102312000,22128000,0.2162796153,,,,,RM-4,,,,,,,
531,Kitsilano,2145 york ave,2145 york ave,TRUE,1,,43,1979,['Yorkshire Place Apt Ltd'],['Yorkshire Place Apt Ltd'],[],['Apartment House'],14365000,5965000,0.4152453881,,,,,RM-4,,,,,,,
1217,West End,1956 haro st,1956 haro st,TRUE,1,,21,1954,['534680 BC Ltd (in trust)'],['534680 BC Ltd (in trust)'],[],['Apartment House'],"$5,057,000.00","$3,195,000.00",0.6317975084,"$392,952.38",,,,RM-5B,,,,,,,yes
827,West End,1075 gilford st,1075 gilford st,TRUE,1,,32,1926,['491296 BC Ltd'],['491296 BC Ltd'],['Kenmore Apartments'],['Apartment House'],"$6,743,000.00","$4,350,000.00",0.645113451,"$346,656.25",,,,RM-5B,,,,,,,yes
1226,West End,1925 nelson st,1925 nelson st,TRUE,1,,21,1956,['Shelmarjay Holdings Ltd'],['Shelmarjay Holdings Ltd'],['Park Beach Manor'],['Apartment House'],"$5,057,000.00","$3,294,000.00",0.6513743326,"$397,666.67",,,,RM-5B,,,,,Organized,,
535,Kerrisdale,6060 balsam st,6060 balsam st,TRUE,1,,43,1963,['Coast Apartments Ltd'],['Coast Apartments Ltd'],[],['Apartment House'],90942000,36858000,0.4052912846,,,,,RM-3,,,,,,,
1251,West End,1671 haro st,1671 haro st,TRUE,1,,21,1960,['238 SSK Investments Ltd'],['238 SSK Investments Ltd'],[],['Apartment House'],"$5,057,000.00","$3,323,000.00",0.6571089579,"$399,047.62",,,,RM-5A,,,,,,,
537,Kitsilano,2040 w 12th ave,2040 w 12th ave,TRUE,1,,43,2005,,,,,20180000,7456000,0.3694747275,,,,,C-7,,,,,,,
538,,1465 lameys mill rd,1465 lameys mill rd,TRUE,1,,43,1981,,,,,13280000,5666000,0.4266566265,,,,,,Twin Rainbows Co-op,Twin Rainbows Co-op Housing Association,,,,,
539,,1415 lameys mill rd,1415 lameys mill rd,TRUE,1,,43,1981,,,,,12788000,6159000,0.4816233969,,,,,,Twin Rainbows Co-op,Twin Rainbows Co-op Housing Association,,,,,
194,West End,2045 nelson st,2045 nelson st,TRUE,1,,84,1966,['Hollyburn Properties Ltd'],['Hollyburn Properties Limited'],['Emerald Terrace'],['Apartment House'],"$75,024,000.00","$50,358,000.00",0.6712252079,"$1,492,642.86",,,,RM-5B,,,,,,,
541,,245 powell st,245 powell st,TRUE,1,,42,1991,['Shiloh Housing Society'],['Shiloh Housing Society'],[],['Non-profit Housing'],725000,2468000,3.404137931,,,,,,Shiloh Place,Shiloh Housing Society,,,,,
1076,West End,1141 harwood st,1141 harwood st,TRUE,1,,24,1954,['(P Cooperberg)'],['(P Cooperberg)'],['Harwood Manor'],['Apartment House'],"$5,057,000.00","$3,418,000.00",0.6758947993,"$353,125.00",,,,RM-5A,,,,,,,
543,Grandview-Woodland,1415 e broadway,1415 e broadway,TRUE,1,,42,1968,['Penelope Apartments Ltd'],['Penelope Apartments Ltd'],[],['Apartment House'],42028000,14264000,0.3393927858,,,,,RM-4N,,,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1415&street=E%20BROADWAY,,,
1020,West End,1222 harwood st,1222 harwood st,TRUE,1,,25,1953,['Brightside Community Homes Foundation'],['Brightside Community Homes Foundation'],[],['Non-profit Housing'],"$5,057,000.00","$3,468,000.00",0.6857820842,"$341,000.00",,,,RM-5A,Harwood Manor,Brightside Community Homes Foundation,,,,,
545,,1630 barclay st,1630 barclay st,TRUE,1,,42,1970,['Brightside Community Homes Foundation'],['Brightside Community Homes Foundation'],[],['Non-profit Housing'],5057000,10601000,2.096302155,,,,,,Gordon Fahrni House,Brightside Community Homes Foundation,,,,,
546,Grandview-Woodland,2275 oxford st,2275 oxford st,TRUE,1,,42,1977,['523498 BC Ltd'],['523498 BC Ltd'],['Oxford Estates'],['Apartment House'],9197000,3843000,0.4178536479,,,,,RM-3A,,,,,,,
547,Grandview-Woodland,2225 triumph st,2225 triumph st,TRUE,1,,42,1978,,,,,10515000,7612000,0.7239182121,,,,,RM-3A,,,,,,,
1835,West End,1560 nelson st,1560 nelson st,TRUE,1,,11,1929,['Froschauer Properties Ltd'],['Froschauer Properties Ltd'],[],['Apartment House'],"$2,760,000.00","$1,909,000.00",0.6916666667,"$424,454.55",,,,RM-5,,,,,,,
1160,West End,1270 burnaby st,1270 burnaby st,TRUE,1,,22,1959,['1270 Burnaby Street Holdings Ltd'],['1270 Burnaby Street Holdings Ltd'],[],['Apartment House'],"$5,057,000.00","$3,500,000.00",0.6921099466,"$388,954.55",,,,RM-5A,,,,,,,
999,West End,1250 nicola st,1250 nicola st,TRUE,1,,26,1955,['Dranly Holdings Ltd'],['Dranly Holdings Ltd'],[],['Apartment House'],"$6,743,000.00","$4,716,000.00",0.699391962,"$440,730.77",,,,RM-5A,,,3,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1250&street=NICOLA%20STREET,,,
1197,West End,1872 barclay st,1872 barclay st,TRUE,1,,21,1959,['610366 BC Ltd'],['610366 BC Ltd'],['Evergreen Apartments'],['Apartment House'],"$5,057,000.00","$3,599,000.00",0.7116867708,"$412,190.48",,,,RM-5B,,,,,,,yes
438,West End,1025 gilford st,1025 gilford st,TRUE,1,,49,1962,['Christopher Investments Ltd & The Corporate Advisory Group Inc'],['Christopher Investments Ltd & The Corporate Advisory Group Inc'],[],['Apartment House'],"$37,090,000.00","$26,410,000.00",0.712051766,"$1,295,918.37",,,,RM-5B,,,,,,,
1104,West End,1620 burnaby st,1620 burnaby st,TRUE,1,,23,1957,['Chu Chi Por (Chu Por)'],['Chu Chi Por (Chu Por)'],[],['Apartment House'],"$5,057,000.00","$3,605,000.00",0.712873245,"$376,608.70",,,,RM-5A,,,,,,,
554,Mount Pleasant,130 e 15th ave,130 e 15th ave,TRUE,1,,42,1978,['544792 Brtitish Columbia Ltd'],['544792 Brtitish Columbia Ltd'],['Terill Manor'],['Apartment House'],9166000,7521000,0.8205324024,,,,,RM-4,,,2,http://app.vancouver.ca/RPS_Net/Default.aspx?num=130&street=E%2015TH%20AVENUE,,,
1116,West End,1151 haro st,1151 haro st,TRUE,1,,23,1954,['Haro Towers Ltd'],['Haro Towers Ltd'],[],['Apartment House'],"$5,057,000.00","$3,617,000.00",0.7152461934,"$377,130.43",,,,RM-5B,,,,,,,
556,,4830 rupert st,4830 rupert st,TRUE,1,,42,1971,,,,,6848000,6922000,1.010806075,,,,,,Rupert Lane,BC Housing,,,,,
557,Mount Pleasant,990 e 8th ave,990 e 8th ave,TRUE,1,,42,1971,['Hythe Investment Corp'],['Hythe Investment Corp'],[],['Apartment House'],43780000,21890000,0.5,,,,,RM-4,,,,,,,
558,West Point Grey,4620 w 10th ave,4620 w 10th ave,TRUE,1,,42,1968,['University Investments Ltd'],['University Investments Ltd'],['University Towers'],['Apartment House'],61245000,46135000,0.7532859825,,,,,RM-3,,,,,,,
559,,3637 cambie st,3637 cambie st,TRUE,1,,42,1982,,,,,128261000,8484000,0.06614637341,,,,,,Eight Oaks Co-op,Eight Oaks Co-op Housing Association,,,,,
1140,West End,1721 comox st,1721 comox st,TRUE,1,,23,1956,['Tribe Rental Management'],['Morris Faigen & Bertha Cohen'],['Palomar Apartments'],['Apartment House'],"$5,057,000.00","$3,633,000.00",0.7184101246,"$377,826.09",,,,RM-5A,,,,,,,
561,Mount Pleasant,43 e 15th ave,43 e 15th ave,TRUE,1,,42,1967,['Wall Financial Corp'],['Wall Financial Corporation'],['Alderwood'],['Apartment House'],86840000,92352000,1.063473054,,,,,RM-4,,,,,,,
1122,West End,1742 pendrell st,1742 pendrell st,TRUE,1,,23,1956,['HH Maple Investments Ltd'],['HH Maple Investments Ltd'],[],['Apartment House'],"$5,057,000.00","$3,647,000.00",0.7211785644,"$378,434.78",,,,RM-5A,,,,,,,
563,,2122 oxford st,2122 oxford st,TRUE,1,,42,1965,,,,,22662000,7179000,0.3167858088,,,,,,Gillard Manor,Vancouver East Lion's Housing Foundation,,,,,
1010,West End,1255 broughton st,1255 broughton st,TRUE,1,,26,1955,['607497 BC Ltd'],['607497 BC Ltd'],['Hatton Manor'],['Apartment House'],"$6,743,000.00","$4,868,000.00",0.7219338573,"$446,576.92",,,,RM-5A,,,,,,,yes
197,West End,1516 davie st,1516 davie st,TRUE,1,,83,1965,['Itziar Management Ltd'],['Itziar Management Ltd'],[],['Apartment House'],"$42,192,000.00","$30,510,000.00",0.7231228669,"$875,927.71",,,,RM-5D,,,3,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1516&street=DAVIE%20STREET,,,
566,Victoria-Fraserview,1408 e 41st ave,1408 e 41st ave,TRUE,1,,42,1964,,,,,5048000,17031000,3.37381141,,,,,CD-1 (620),,,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1408&street=E%2041ST%20AVENUE,,,
567,Mount Pleasant,677 e 7th ave,677 e 7th ave,TRUE,1,,42,1971,['MML Properties Ltd'],['MML Properties Ltd'],[],['Apartment House'],64414000,47544000,0.738100413,,,,,RM-4,,,,,,,
1127,West End,1230 burnaby st,1230 burnaby st,TRUE,1,,23,1960,['1230 Burnaby Street Holdings Ltd'],['1230 Burnaby Street Holdings Ltd'],[],['Apartment House'],"$5,057,000.00","$3,657,000.00",0.7231560214,"$378,869.57",,,,RM-5A,,,,,,,
569,,1823 e pender st,1823 e pender st,TRUE,1,,42,1989,['BC Indigenous Housing Society'],['BC Indigenous Housing Society'],[],['Non-profit Housing'],11367000,3637000,0.3199612915,,,,,,Vancouver Native (Pender St),Vancouver Native Housing Society,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1823&street=E%20PENDER%20STREET,,,
570,Kitsilano,1848 w 3rd ave,1848 w 3rd ave,TRUE,1,,41,1972,['Hollyburn Properties Ltd'],['Hollyburn Properties (Alberta) Ltd'],['The Royale'],['Apartment House'],47024000,19240000,0.4091527731,,,,,RM-4,,,,,,,
571,Mount Pleasant,825 e 8th ave,825 e 8th ave,TRUE,1,,41,1969,['Bayvision Enterprise Ltd'],['Bayvision Enterprise Ltd'],['Manhattan Apartments'],['Apartment House'],43780000,48570000,1.10941069,,,,,RM-4,,,,,,,
257,West End,1955 haro st,1955 haro st,TRUE,1,,71,1964,['Mason Investments Ltd'],['Mason Investments Ltd'],[],['Apartment House'],"$37,090,000.00","$26,884,000.00",0.724831491,"$901,042.25",,,,RM-5B,,,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1955&street=HARO%20STREET,,,
351,West End,1947 pendrell st,1947 pendrell st,TRUE,1,,56,1969,['Balay Management Ltd'],['Balay Management Ltd'],['Belmac Apartments'],['Apartment House'],"$27,818,000.00","$20,306,000.00",0.7299590193,"$859,357.14",,,,RM-5B,,,,,,,
1575,West End,1334 cardero st,1334 cardero st,TRUE,1,,14,1949,['Sandro R Moscone (Sandro Moscone)'],['Sandro R Moscone (Sandro Moscone)'],[],['Apartment House'],"$3,552,000.00","$2,626,000.00",0.7393018018,"$441,285.71",,,,RM-5A,,,,,,,
575,Marpole,8892 montcalm st,8892 montcalm st,TRUE,1,,41,1965,['Harob Holdings Ltd'],['Harob Holdings Ltd'],[],['Apartment House'],11713000,3083000,0.2632118159,,,,,RM-3A,,,,,,,
1123,West End,1531 barclay st,1531 barclay st,TRUE,1,,23,1962,['1081976 BC Ltd'],['1081976 BC Ltd'],[],['Apartment House'],"$5,057,000.00","$3,742,000.00",0.7399644058,"$382,565.22",1,,,RM-5,,,2,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1531&street=BARCLAY%20STREET,,,yes
577,,717 w 8th ave,717 w 8th ave,TRUE,1,,41,1986,,,,,6260000,1826000,0.2916932907,,,,,,Heritage Co-op,Heritage Co-op Housing Association,,,,,
1162,West End,1851 haro st,1851 haro st,TRUE,1,,22,1940,['Lotte and John Hecht Memorial Foundation'],['Lotte and John Hecht Memorial Foundation'],[],['Apartment House'],"$5,057,000.00","$3,746,000.00",0.7407553886,"$400,136.36",,,,RM-5B,,,,,,,
579,,1620 e 6th ave,1620 e 6th ave,TRUE,1,,41,1965,['Brightside Community Homes Foundation'],['Brightside Community Homes Foundation'],[],['Non-profit Housing'],0,0,,,,,,,Wallace Wilson House,Brightside Community Homes Foundation,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1620&street=E%206TH%20AVENUE,,,
580,Renfrew-Collingwood,4320 slocan st,4320 slocan st,TRUE,1,,41,1945,,,,,3255000,14464000,4.443625192,,,,,CD-1 (557),,,4,http://app.vancouver.ca/RPS_Net/Default.aspx?num=4320&street=SLOCAN%20STREET,,,
100,West End,1260 nelson st,1260 nelson st,TRUE,1,,107,1970,['1260 Nelson Holdings Ltd'],['1260 Nelson Holdings Ltd'],[],['Apartment House'],"$27,818,000.00","$20,709,000.00",0.7444460421,"$453,523.36",,,,RM-5B,,,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1260&street=NELSON%20STREET,,,
582,Marpole,8772 hudson st,8772 hudson st,TRUE,1,,41,1969,['Chartwell Construction Ltd'],['Chartwell Construction Ltd'],[],['Apartment House'],40672000,5568000,0.1369000787,,,,,RM-3A,,,,,,,
583,Fairview,1009 w 10th ave,1009 w 10th ave,TRUE,1,,41,1927,,,,,13702000,21320000,1.55597723,,,,,RM-3,,,,,,,
584,,3510 se marine dr,3510 se marine dr,TRUE,1,,41,1992,,,,,1905000,3395000,1.782152231,,,,,,Natalia Terrace,Entre Nous Femmes Housing Society,,,,,
269,West End,1155 pacific st,1155 pacific st,TRUE,1,,69,1978,['Intra Pacific Buildings Ltd'],['Intra Pacific Buildings Ltd'],['Pacific Horizon'],['Apartment House'],"$92,725,000.00","$69,345,000.00",0.7478565651,"$2,348,840.58",,,,RM-5A,,,,,,,
96,West End,1230 nelson st,1230 nelson st,TRUE,1,,108,1969,['1230 Nelson Holdings Ltd'],['1230 Nelson Holdings Ltd'],['Harley House'],['Apartment House'],"$27,818,000.00","$20,812,000.00",0.7481486807,"$450,277.78",,,,RM-5B,,,,,,,
587,Sunset,580 e 43rd ave,580 e 43rd ave,TRUE,1,,41,1970,['0766422 BC Ltd'],['0766422 BC Ltd'],[],['Apartment House'],43404000,23346000,0.5378766934,,,,,RM-2,,,,,,,
588,Fairview,1240 w 10th ave,1240 w 10th ave,TRUE,1,,41,1964,['Forbes Apartments Ltd'],['Forbes Apartments Ltd'],[],['Apartment House'],48108000,8440000,0.1754385965,,,,,RM-3,,,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1240&street=W%2010TH%20AVENUE,,,
589,Mount Pleasant,11 e 11th ave,11 e 11th ave,TRUE,1,,41,1968,['(Janet Choi)'],['(Janet Choi)'],['Carmel Court'],['Apartment House'],9904000,4735000,0.4780896607,,,,,RM-4,,,,,,,
590,Mount Pleasant,612 e 7th ave,612 e 7th ave,TRUE,1,,41,1971,['George Rener & Alenka Rener'],['George Rener & Alenka Rener'],[],['Apartment House'],34920000,8908000,0.2550973654,,,,,RM-4,,,,,,,
591,Mount Pleasant,233 e 12th ave,233 e 12th ave,TRUE,1,,41,1969,['Swallow Court Holdings Inc'],['Swallow Court Holdings Inc'],[],['Apartment House'],22209000,18012000,0.8110225584,,,,,RM-4N,,,,,,,
592,,716 smithe st,716 smithe st,TRUE,1,,41,1993,['City of Vancouver'],['City of Vancouver'],['Gresham Residence'],['Non-profit Housing'],0,0,,,,,,,The Gresham,City of Vancouver,,,,,
593,Renfrew-Collingwood,4310 slocan st,4310 slocan st,TRUE,1,,41,2017,,,,,1613000,5000,0.003099814011,,,,,CD-1 (557),,,,,,,
1153,West End,1451 burnaby st,1451 burnaby st,TRUE,1,,22,1956,['Derlan Holdings Ltd'],['Derlan Holdings Ltd'],['Steven Manor'],['Apartment House'],"$5,057,000.00","$3,796,000.00",0.7506426735,"$402,409.09",,,,RM-5A,,,,,,,
595,,2950 heather st,2950 heather st,TRUE,1,,41,1986,,,,,14963000,7949000,0.5312437345,,,,,,Domego Co-op,Domego Co-op Housing Association,,,,,
147,West End,2050 nelson st,2050 nelson st,TRUE,1,,94,1963,['434054 B C Ltd'],['434054 B C Ltd'],[],['Apartment House'],"$34,448,000.00","$25,888,000.00",0.7515095216,"$641,872.34",,,,RM-5B,,,,,,,
1228,West End,1549 barclay st,1549 barclay st,TRUE,1,,21,1958,['YHY Enterprises Ltd'],['YHY Enterprises Ltd'],[],['Apartment House'],"$5,057,000.00","$3,825,000.00",0.7563772988,"$422,952.38",,,,RM-5,,,,,,,
